	family	mt	order	xt
541	Hemerobiidae	6	Neuroptera	12
542	Nevrorthidae	6	Neuroptera	10
543	Sisyridae	6	Neuroptera	8
544	Tetrigidae	6	Orthoptera	16
545	Chloroperlidae	6	Plecoptera	40
546	Leuctridae	6	Plecoptera	13
547	Nemouridae	6	Plecoptera	15
548	Brachycentridae	6	Trichoptera	11
549	Calamoceratidae	6	Trichoptera	10
550	Chathamiidae	6	Trichoptera	9
551	Philopotamidae	6	Trichoptera	9
552	Philorheithridae	6	Trichoptera	13
553	Pisuliidae	6	Trichoptera	19
554	Stenopsychidae	6	Trichoptera	12
555	Laemobothriidae	6.5	Phthiraptera	11
556	Pyrochroidae	7	Coleoptera	18
557	Silphidae	7	Coleoptera	45
558	Synchroidae	7	Coleoptera	13
559	Athericidae	7	Diptera	10
560	Ptychopteridae	7	Diptera	14
561	Vermileonidae	7	Diptera	12
562	Ameletidae	7	Ephemeroptera	21
563	Coreidae	7	Hemiptera	45
564	Eurybrachyidae	7	Hemiptera	29
565	Gelastocoridae	7	Hemiptera	15
566	Largidae	7	Hemiptera	55
567	Nabidae	7	Hemiptera	11
568	Reduviidae	7	Hemiptera	40
569	Megachilidae	7	Hymenoptera	39
570	Melittidae	7	Hymenoptera	12
571	Monomachidae	7	Hymenoptera	22
572	Pergidae	7	Hymenoptera	10
573	Scolebythidae	7	Hymenoptera	10
574	Xiphydriidae	7	Hymenoptera	25
575	Amphisbatidae	7	Lepidoptera	8
576	Hesperiidae	7	Lepidoptera	37
577	Lymantriidae	7	Lepidoptera	58
578	Pieridae	7	Lepidoptera	31
579	Somabrachyidae	7	Lepidoptera	8
580	Tineodidae	7	Lepidoptera	16
581	Panorpodidae	7	Mecoptera	17
582	Gryllacrididae	7	Orthoptera	50
583	Atriplectididae	7	Trichoptera	10
584	Limnephilidae	7	Trichoptera	23
585	Uenoidae	7	Trichoptera	9
586	Apioceridae	7.5	Diptera	35
587	Anaxyelidae	7.5	Hymenoptera	8
588	Ectobiidae	8	Blattodea	18
589	Hygrobiidae	8	Coleoptera	10
590	Boridae	8	Coleoptera	25
591	Campodeidae	8	Diplura	10
592	Japygoidea	8	Diplura	50
593	Oestridae	8	Diptera	25
594	Baetiscidae	8	Ephemeroptera	16
595	Potamanthidae	8	Ephemeroptera	25
596	Siphlaenigmatidae	8	Ephemeroptera	9
597	Alydidae	8	Hemiptera	20
598	Hyocephalidae	8	Hemiptera	15
599	Pyrrhocoridae	8	Hemiptera	30
600	Stenocephalidae	8	Hemiptera	15
601	Ibaliidae	8	Hymenoptera	25
602	Pamphiliidae	8	Hymenoptera	15
603	Roproniidae	8	Hymenoptera	10
604	Scoliidae	8	Hymenoptera	60
605	Trigonalidae	8	Hymenoptera	17
606	Vespidae	8	Hymenoptera	25
607	Callidulidae	8	Lepidoptera	14
608	Cimeliidae	8	Lepidoptera	11
609	Eupterotidae	8	Lepidoptera	47
610	Hepialidae	8	Lepidoptera	104
611	Riodinidae	8	Lepidoptera	13
612	Perlodidae	8	Plecoptera	50
613	Lepidostomatidae	8	Trichoptera	10
614	Rhyacophilidae	8	Trichoptera	13
615	Sericostomatidae	8	Trichoptera	14
616	Lepismatidae	8	Zygentoma	20
617	Callirhipidae	9	Coleoptera	23
618	Anisolabididae	9	Dermaptera	13
619	Pygidicranidae	9	Dermaptera	45
620	Mydidae	9	Diptera	60
621	Isonychiidae	9	Ephemeroptera	16
622	Metretopodidae	9	Ephemeroptera	16
623	Siphlonuridae	9	Ephemeroptera	13
624	Belostomatidae	9	Hemiptera	110
625	Dinidoridae	9	Hemiptera	27
626	Anthelidae	9	Lepidoptera	68
627	Lemoniidae	9	Lepidoptera	28
628	Notodontidae	9	Lepidoptera	57
629	Panorpidae	9	Mecoptera	25
630	Acrididae	9	Orthoptera	120
631	Rhipiceridae	10	Coleoptera	25
632	Forficulidae	10	Dermaptera	18
633	Ephemeridae	10	Ephemeroptera	32
634	Oniscigastridae	10	Ephemeroptera	11
635		10	Grylloblattidae	30
636	Cicadidae	10	Hemiptera	100
637	Velocipedidae	10	Hemiptera	15
638	Andesianidae	10	Lepidoptera	23
639	Apatelodidae	10	Lepidoptera	37
640	Bombycidae	10	Lepidoptera	33
641	Castniidae	10	Lepidoptera	82
642	Lasiocampidae	10	Lepidoptera	92
643	Mimallonidae	10	Lepidoptera	28
644	Papilionidae	10	Lepidoptera	83
645	Uraniidae	10	Lepidoptera	50
646		10	Mantodea	170
647		10	Mantophasmatodea	30
648	Meropeidae	10	Mecoptera	12
649	Chrysopidae	10	Neuroptera	25
650	Psychopsidae	10	Neuroptera	35
