Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
CHARADRIIFORMES	Alcidae	Aethia psittacula	Aethia psittacula	0.2466	0.5048	5.6234	4	4
CHARADRIIFORMES	Alcidae	Aethia pusilla	Aethia pusilla	0.1960	0.3999	3.9883	8	8
CHARADRIIFORMES	Alcidae	Alca torda	Alca torda	0.2880	0.5818	7.5757	15	16
CHARADRIIFORMES	Alcidae	Alle alle	Alle alle	0.1647	0.4020	4.6032	2	2
CHARADRIIFORMES	Alcidae	Brachyramphus marmoratus	Brachyramphus marmoratus	0.2602	0.6118	6.1466	1	1
CHARADRIIFORMES	Alcidae	Cepphus columba	Cepphus columba	0.2230	0.4932	6.1728	38	68
CHARADRIIFORMES	Alcidae	Cepphus grylle	Cepphus grylle	0.2199	0.4778	5.8653	10	19
CHARADRIIFORMES	Alcidae	Cerorhinca monocerata	Cerorhinca monocerata	0.2079	0.4704	6.8766	12	12
CHARADRIIFORMES	Alcidae	Fratercula arctica	Fratercula arctica	0.2815	0.4829	6.3065	8	8
CHARADRIIFORMES	Alcidae	Fratercula cirrhata	Fratercula cirrhata	0.2928	0.4990	7.2282	53	53
CHARADRIIFORMES	Alcidae	Fratercula corniculata	Fratercula corniculata	0.2555	0.4929	6.8534	28	28
CHARADRIIFORMES	Alcidae	Ptychoramphus aleuticus	Ptychoramphus aleuticus	0.1364	0.3819	4.6304	22	22
CHARADRIIFORMES	Alcidae	Synthliboramphus antiquus	Synthliboramphus antiquus	0.1323	0.6729	6.2258	8	16
CHARADRIIFORMES	Alcidae	Synthliboramphus craveri	Synthliboramphus craveri	0.1561	0.5097	5.3850	6	10
CHARADRIIFORMES	Alcidae	Synthliboramphus hypoleucus	Synthliboramphus hypoleucus	0.1567	0.5401	5.4912	15	22
CHARADRIIFORMES	Alcidae	Uria aalge	Uria aalge	0.4502	0.6791	8.1741	33	33
CHARADRIIFORMES	Alcidae	Uria lomvia	Uria lomvia	0.4336	0.6453	7.8649	39	39
CHARADRIIFORMES	Burhinidae	Burhinus capensis	Burhinus capensis	0.2635	0.5068	5.8589	3	6
CHARADRIIFORMES	Burhinidae	Burhinus oedicnemus	Burhinus oedicnemus	0.1611	0.3358	4.9116	1	1
CHARADRIIFORMES	Burhinidae	Burhinus vermicularis	Burhinus vermicularis	0.0903	0.3561	4.9037	1	2
CHARADRIIFORMES	Charadriidae	Charadrius alexandrinus	Charadrius alexandrinus	0.2566	0.3930	3.1152	37	94
CHARADRIIFORMES	Charadriidae	Charadrius dubius	Charadrius dubius	0.3302	0.4210	2.9137	1	2
CHARADRIIFORMES	Charadriidae	Charadrius falklandicus	Charadrius falklandicus	0.2945	0.4436	3.7759	1	2
CHARADRIIFORMES	Charadriidae	Charadrius hiaticula	Charadrius hiaticula	0.3354	0.4179	3.4851	7	12
CHARADRIIFORMES	Charadriidae	Charadrius melodus	Charadrius melodus	0.2713	0.3472	3.1989	8	22
CHARADRIIFORMES	Charadriidae	Charadrius modestus	Charadrius modestus	0.3155	0.5041	4.4829	2	4
CHARADRIIFORMES	Charadriidae	Charadrius montanus	Charadrius montanus	0.2152	0.3393	3.7750	2	4
CHARADRIIFORMES	Charadriidae	Charadrius pecuarius	Charadrius pecuarius	0.2661	0.4750	3.2023	3	6
CHARADRIIFORMES	Charadriidae	Charadrius semipalmatus	Charadrius semipalmatus	0.3195	0.4628	3.3488	3	7
CHARADRIIFORMES	Charadriidae	Charadrius tricollaris	Charadrius tricollaris	0.3005	0.4426	3.0216	2	4
CHARADRIIFORMES	Charadriidae	Charadrius vociferus	Charadrius vociferus	0.3522	0.4756	3.8310	20	29
CHARADRIIFORMES	Charadriidae	Charadrius wilsonia	Charadrius wilsonia	0.2621	0.4116	3.7489	9	27
CHARADRIIFORMES	Charadriidae	Charadrius melanops	Elseyornis melanops	0.2697	0.2995	2.6494	1	2
CHARADRIIFORMES	Charadriidae	Charadrius cinctus	Erythrogonys cinctus	0.3806	0.4072	3.1366	1	2
CHARADRIIFORMES	Charadriidae	Eudromias morinellus	Eudromias morinellus	0.2275	0.5119	4.0186	1	2
CHARADRIIFORMES	Charadriidae	Pluvialis apricaria	Pluvialis apricaria	0.4107	0.5328	5.1358	4	6
CHARADRIIFORMES	Charadriidae	Pluvialis dominicus	Pluvialis dominica	0.4331	0.6112	4.9874	1	2
CHARADRIIFORMES	Charadriidae	Pluvialis fulva	Pluvialis fulva	0.3348	0.4276	4.9230	2	3
CHARADRIIFORMES	Charadriidae	Vanellus armatus	Vanellus armatus	0.2311	0.3098	3.5933	1	4
CHARADRIIFORMES	Charadriidae	Vanellus coronatus	Vanellus coronatus	0.2999	0.4093	3.9410	1	3
CHARADRIIFORMES	Charadriidae	Vanellus miles	Vanellus miles	0.2867	0.4837	4.9008	2	8
CHARADRIIFORMES	Charadriidae	Vanellus senegallus	Vanellus senegallus	0.2639	0.4072	4.5872	1	3
CHARADRIIFORMES	Charadriidae	Vanellus vanellus	Vanellus vanellus	0.3433	0.4373	4.5780	8	11
CHARADRIIFORMES	Dromadidae	Dromas ardeola	Dromas ardeola	0.2022	0.3958	6.5763	1	1
CHARADRIIFORMES	Glareolidae	Cursorius cursor	Cursorius cursor	0.2370	0.3763	3.5900	1	2
CHARADRIIFORMES	Glareolidae	Cursorius temminckii	Cursorius temminckii	0.1165	0.1614	2.6026	1	1
CHARADRIIFORMES	Glareolidae	Glareola lactea	Glareola lactea	0.1540	0.2803	2.5811	3	8
CHARADRIIFORMES	Glareolidae	Glareola maldivarum	Glareola maldivarum	0.2808	0.3579	3.0904	3	6
CHARADRIIFORMES	Glareolidae	Glareola nuchalis	Glareola nuchalis	0.3203	0.4695	3.1065	2	4
CHARADRIIFORMES	Glareolidae	Glareola pratincola	Glareola pratincola	0.1395	0.3422	3.2323	2	6
CHARADRIIFORMES	Glareolidae	Rhinoptilus africanus	Rhinoptilus africanus	0.1367	0.3365	3.3119	1	1
