in_egg_database	name	rank	order	semiaquatic_riparian	in_water	combined	references	handbook_of_zoology_vol_1_3	williams1992aquatic	wichard2002biological	jach1998annotated	JohannsenOAOskarAugustus1934Ad	additional_notes										
FALSE	Limnichidae	family	Coleoptera	SOME	FALSE	SOME	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	most riparian, some fully terrestrial (Platypelochares, Tricholimnichus, Limnichomorphus, Paralimnichus)			riparian (some terrestrial)												
FALSE	Limnophora	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Liparocephalus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Liparocephalus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Lispe	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Lissorhoptrus	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
FALSE	Liusus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Loricera	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Luciola_cruciata	species	Coleoptera	FALSE	TRUE	TRUE	jach1998annotated				false water beetles												
TRUE	Luciola_ficta	species	Coleoptera	FALSE	TRUE	TRUE	jach1998annotated				false water beetles												
TRUE	Lutrochidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	adults and larvae aquatic			true water beetles												
TRUE	Macroveliidae	family	Hemiptera	FALSE	FALSE	FALSE	Cobben1968, williams1992aquatic, wichard2002biological		listed in table of aquatic insects	semiaquatic			land habitats (Oravelia present in dataset)										
FALSE	Manda_mandibularis	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Megaloptera	order	Megaloptera	FALSE	FALSE	FALSE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	overhanging water													
TRUE	Megaselia	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Megistocera	genus	Diptera	FALSE	TRUE	TRUE	young2004insecta						aquatic										
FALSE	Melanochelia	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
TRUE	Melyridae	family	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	all terrestrial except Endeodes (not in the egg dataset) intertidal			some riparian												
FALSE	Meruidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm	adults found in flowing water, semiaqautic															
TRUE	Mesoveliidae	family	Hemiptera	FALSE	FALSE	FALSE	choe1997evolution, williams1992aquatic, wichard2002biological		listed in table of aquatic insects	semiaquatic			eggs inserted into stems										
FALSE	Micralymma	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Monotomidae	family	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	not aquatic			some adult facultative												
FALSE	Mydaeina	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Myrmecopora	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Nanophyes	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
TRUE	Naucoridae	family	Hemiptera	FALSE	TRUE	TRUE	sites1993voltinism, williams1992aquatic		listed in table of aquatic insects				fully aquatic										
TRUE	Nebria	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Negastrius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Nemotelus	genus	Diptera	TRUE	FALSE	TRUE	JohannsenOAOskarAugustus1934Ad					riparian											
TRUE	Neobisnius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Neolasioptera	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
FALSE	Neopachylopus	genus	Coleoptera	SOME	FALSE	SOME	jach1998annotated				riparian		some										
FALSE	Neophytobius	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
TRUE	Nepidae	family	Hemiptera	FALSE	FALSE	FALSE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	eggs laid in aquatic plants													
FALSE	Notaris	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous												
FALSE	Noteridae	family	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	larvae and adults aquatic, eggs laid in cells of aquatic plants			true water beetles												
FALSE	Nothomyia	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
TRUE	Notonectidae	family	Hemiptera	FALSE	TRUE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	fully aquatic													
FALSE	Nymphomyiidae	family	Diptera	FALSE	TRUE	TRUE	wichard2002biological			fully aquatic													
FALSE	Ocalea	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Ochteridae	family	Hemiptera	FALSE	TRUE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	fully aquatic													
FALSE	Ochthephilum_fracticorne	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Ochthephilus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Ochthera	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Ocyusa_maura	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Odacantha	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Odontomyia	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Oedoparena	genus	Diptera	FALSE	FALSE	FALSE	merritt1996introduction, wichard2002biological			mostly terrestrial			parasitic on barnacles										
FALSE	Oedostethus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Olophrum	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Omalium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Oodes	genus	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				facultative water beetle												
FALSE	Orthidus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Osmylidae	family	Neuroptera	FALSE	FALSE	FALSE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	overhanging water													
FALSE	Oxycera	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					phytophilous											
FALSE	Paederus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
