in_egg_database	original_name	name	rank	order	parasitoid	internal	conflict_across_sources	references	eggleton1992insect	noyes1989chalcidoidea	pennacchio2006evolution	gauld1988evolutionary	noyes2003universal
TRUE	Sarcophagidae	Sarcophagidae	family	Diptera	FALSE	FALSE	FALSE	eggleton1992insect	all family uterine incubation				
TRUE	Scelionidae	Scelionidae	family	Hymenoptera	TRUE	TRUE	FALSE	eggleton1992insect	endoparasitic				
FALSE	Sciomyza aristalis	Sciomyza_aristalis	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Pteromicra inermis	Sciomyza_varia	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Sciomyza varia	Sciomyza_varia	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Scoliidae	Scoliidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
FALSE	Signiphoridae	Signiphoridae	family	Hymenoptera	FALSE	TRUE	FALSE	noyes1989chalcidoidea, noyes2003universal		almost all endoparasitic, few ectoparasitic			most endoparasitic
FALSE	Sosylus	Sosylus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Sphecidae	Sphecidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
FALSE	Sthenauge parasitus	Sthenauge_parasitus	species	Lepidoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
FALSE	Stilpninae	Stilpnina	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
FALSE	Sycophila biguttata	Sycophila_biguttata	species	Hymenoptera	TRUE	TRUE	FALSE	noyes2003universal					all endoparasitic
FALSE	Symphrasinae	Symphrasinae	subfamily	Neuroptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Tachinidae	Tachinidae	family	Diptera	TRUE	SOME	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	Tanaostigmatidae	Tanaostigmatidae	family	Hymenoptera	FALSE	FALSE	FALSE	eggleton1992insect, noyes2003universal	endoparasiticphytic, kleptoparasitic				all phytophagous
TRUE	Tersilochinae	Tersilochinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Tetrastichinae	Tetrastichinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	noyes2003universal					all endoparasitic
FALSE	Tettigonomyia	Tettigoniomyia	genus	Diptera	TRUE	TRUE	FALSE	eggleton1992insect	all endoparasitic				
TRUE	Tiphiidae	Tiphiidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect	ectoparasitic				
TRUE	Torymidae	Torymidae	family	Hymenoptera	SOME	SOME	FALSE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	ectoparasitic, kleptoparasitic, endoparasiticphytic	most ectoparasitic, some endoparasitic, some phytophagous			endoparasitic, ectoparasitic, and phytophagous
TRUE	Toryminae	Toryminae	subfamily	Hymenoptera	SOME	FALSE	FALSE	noyes2003universal					majority ectoparasitic
FALSE	Trichodes	Trichodes	genus	Coleoptera	FALSE	FALSE	FALSE	eggleton1992insect	all kleptoparasitic				
TRUE	Trichogrammatidae	Trichogrammatidae	family	Hymenoptera	TRUE	TRUE	TRUE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	some endoparasitic	all endoparasitic			all endoparasitic
TRUE	Trigonalyoidea	Trigonaloidea	superfamily	Hymenoptera	TRUE	FALSE	FALSE	pennacchio2006evolution			all endoparasitic, eggs laid externally		
TRUE	Tryphonine	Tryphoninae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				a number ectoparasitic	
TRUE	Xoridinae	Xoridinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				many ectoparasitic	
